EndNodes_1,EndNodes_2
1,5
1,16
2,14
2,22
2,116
3,12
3,15
4,7
4,57
5,13
5,16
6,11
6,57
7,57
8,30
8,52
9,11
9,12
9,17
9,28
10,18
10,19
10,21
11,28
11,57
12,15
12,17
13,16
13,32
13,47
14,27
14,38
14,116
15,17
15,100
16,25
16,32
16,42
17,28
17,54
17,100
18,19
18,21
18,29
18,40
19,29
19,39
20,24
20,33
20,52
21,23
21,33
21,40
21,43
22,116
23,33
23,43
24,33
24,35
24,52
24,77
24,96
25,32
25,42
25,50
26,38
27,38
27,116
28,31
28,54
28,57
28,66
28,100
29,39
29,40
29,97
30,37
30,46
30,52
30,63
31,45
31,57
31,66
32,47
32,50
32,72
32,76
32,81
33,34
33,43
33,62
33,64
33,77
34,62
35,52
35,96
35,98
36,37
36,41
36,74
37,41
37,46
37,63
37,74
38,47
38,53
38,116
39,56
39,83
39,88
39,91
39,97
40,43
40,97
41,63
41,68
41,74
42,46
42,50
42,74
43,44
43,62
43,97
43,104
43,112
44,62
44,112
45,48
45,57
45,66
46,74
47,51
47,53
47,81
47,92
47,94
47,118
48,57
48,66
48,109
49,52
49,63
50,72
50,74
50,75
50,86
51,92
51,118
52,63
52,98
53,116
53,118
54,100
55,62
55,112
56,83
57,59
57,101
57,109
58,116
59,90
59,101
60,63
60,69
60,70
60,98
61,66
61,109
62,64
62,110
62,112
63,68
63,69
63,98
64,77
64,110
65,72
65,86
65,89
65,130
66,100
66,109
67,68
67,71
67,73
67,74
68,69
68,71
68,74
68,93
69,70
69,93
69,119
70,78
70,98
70,119
71,73
71,93
71,102
72,76
72,86
72,130
73,74
73,80
73,85
73,99
73,102
74,75
74,80
75,80
75,86
76,81
76,130
77,96
77,110
78,98
78,105
78,119
79,82
79,92
79,106
79,118
79,141
80,85
80,86
80,132
81,94
81,130
82,106
82,141
83,88
84,100
84,116
84,120
85,99
85,132
86,89
86,132
87,116
88,91
88,111
89,130
89,132
90,101
90,114
91,97
91,111
92,94
92,106
92,118
92,141
92,144
93,102
93,119
94,130
94,144
95,98
95,105
95,131
96,98
96,110
97,104
97,111
97,117
97,121
97,129
98,105
98,108
98,110
98,115
98,131
99,102
99,132
100,107
100,109
100,120
100,142
101,109
101,114
101,127
102,113
102,119
102,132
102,168
103,106
103,141
104,112
104,129
104,155
105,119
105,131
106,141
107,109
107,142
108,110
108,115
108,154
109,127
109,142
110,112
110,154
111,121
112,154
112,155
113,132
113,168
114,122
114,127
115,131
115,154
116,118
116,120
116,136
117,121
118,136
118,141
119,131
119,168
120,123
120,136
120,142
120,166
121,129
122,124
123,136
123,149
123,166
124,125
124,127
124,138
125,127
125,138
126,130
126,144
127,138
127,142
128,131
128,140
128,168
129,155
130,132
130,133
130,134
130,144
130,164
130,184
131,150
131,154
131,168
132,164
132,168
133,134
133,177
133,184
134,144
134,177
135,142
135,166
136,141
136,149
136,151
136,152
136,166
137,150
137,168
138,142
138,156
139,144
139,177
140,168
141,144
141,151
141,158
142,146
142,156
142,166
143,154
144,145
144,158
144,177
145,158
145,177
146,166
147,154
147,155
148,164
149,166
150,154
150,168
151,152
151,158
151,166
152,166
153,157
153,158
153,166
154,155
154,160
154,168
154,169
154,170
154,171
154,175
154,179
154,180
155,162
155,175
156,159
156,166
156,174
156,216
156,217
157,158
157,166
158,163
158,166
158,177
158,178
158,206
159,217
160,161
160,169
160,179
161,169
161,179
161,181
162,167
162,188
163,178
163,187
163,205
163,206
164,168
164,176
164,182
164,183
164,184
164,190
164,191
164,201
164,204
165,166
165,173
165,207
165,208
166,174
166,206
166,207
166,208
167,175
167,188
168,171
168,182
168,198
169,170
169,172
169,181
169,198
170,171
170,198
171,198
172,181
172,193
172,198
173,207
173,208
174,208
174,209
174,210
174,211
174,212
174,216
175,180
175,188
176,191
176,204
177,178
177,184
177,186
178,186
178,205
179,180
179,181
179,196
180,188
180,196
181,193
181,196
182,190
182,198
183,184
183,204
184,185
184,186
184,204
185,186
185,189
185,204
186,189
186,194
187,205
187,206
188,195
188,196
189,194
189,204
190,198
190,200
190,201
191,201
191,202
191,203
191,204
192,200
193,196
193,197
193,198
194,204
194,205
195,196
195,219
196,197
196,219
197,198
197,219
198,200
198,219
199,200
199,219
200,201
200,219
201,202
201,219
202,203
202,219
203,204
203,219
204,205
204,219
205,206
205,219
206,207
206,219
207,208
207,219
208,209
208,219
209,210
209,219
210,211
210,219
211,212
211,219
212,216
212,219
213,216
213,219
214,216
214,219
215,216
215,219
216,217
216,219
217,218
217,219
218,219
