EndNodes_1,EndNodes_2
1,4
2,23
2,51
3,23
4,6
5,6
5,7
5,8
5,11
5,17
6,9
6,17
6,20
7,8
7,11
7,12
7,13
7,34
8,10
8,13
8,15
9,16
9,17
9,20
9,25
10,14
10,15
10,26
11,17
11,34
12,13
12,34
13,15
13,34
14,26
15,26
15,34
16,20
16,25
17,18
17,25
17,34
18,34
19,51
20,21
20,22
20,25
21,22
21,24
22,24
22,25
23,29
23,51
24,25
24,41
25,33
25,41
25,44
26,28
26,34
26,35
27,51
28,35
28,51
29,32
29,51
30,51
30,59
31,39
31,51
31,59
32,51
32,59
33,34
33,37
33,42
33,43
33,44
33,49
34,35
34,49
35,36
35,49
36,49
36,51
37,42
37,48
37,49
38,51
38,54
39,51
39,58
39,59
40,51
41,44
41,46
42,43
42,48
43,44
43,48
44,46
44,47
44,48
45,59
45,60
46,47
47,48
48,49
49,51
50,51
51,52
51,54
51,55
51,56
51,57
51,58
51,59
52,53
52,54
53,54
54,55
55,56
56,57
57,58
58,59
59,60
59,61
60,61
