EndNodes_1,EndNodes_2
1,3
1,45
2,4
2,5
2,17
2,45
3,22
3,45
4,17
4,45
5,9
5,17
6,7
6,19
7,12
7,19
8,22
8,24
9,10
9,17
9,18
9,27
10,19
10,27
11,17
11,45
12,13
12,19
12,26
13,19
13,26
14,26
15,16
15,20
15,40
16,80
17,18
17,30
17,45
18,27
18,30
19,26
19,27
20,40
20,55
20,80
21,24
22,23
22,24
22,32
22,45
23,45
24,25
24,32
24,51
25,32
25,51
26,27
26,39
27,30
27,39
28,30
29,30
29,44
30,31
30,33
30,39
30,44
30,45
31,33
31,38
31,44
32,34
32,45
32,51
33,38
33,39
34,45
34,49
35,39
35,52
35,74
36,41
36,58
37,54
37,55
37,62
38,39
38,44
38,52
39,40
39,52
39,74
40,55
40,74
41,42
41,55
41,58
41,74
42,74
43,44
43,48
43,50
43,57
44,45
44,46
44,47
44,48
44,50
44,52
45,47
45,49
45,69
46,50
46,52
47,48
47,69
48,57
48,69
48,71
49,51
49,56
49,68
49,69
50,52
50,57
50,60
51,65
51,68
52,60
52,73
52,74
53,55
53,74
54,55
54,59
54,62
54,80
55,58
55,62
55,74
55,76
55,77
55,80
56,68
56,69
57,60
57,64
57,71
58,66
58,74
58,75
58,76
59,62
59,63
59,78
59,79
60,64
60,73
61,74
62,77
62,78
63,79
63,80
64,67
64,71
64,72
64,73
65,68
66,75
66,76
67,72
67,73
68,69
69,70
69,71
70,71
71,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
