EndNodes_1,EndNodes_2
1,12
1,14
2,6
2,13
3,41
4,48
5,8
5,33
5,75
6,7
6,13
6,16
7,9
7,16
7,48
8,15
8,19
8,33
8,37
9,16
9,24
9,48
10,39
11,41
12,14
12,39
13,16
13,20
13,23
14,22
14,23
14,28
14,35
14,39
15,19
15,37
15,41
16,20
16,24
17,18
17,41
18,41
19,26
19,41
20,23
20,24
20,27
21,48
22,25
22,35
22,39
22,40
22,56
23,27
23,28
24,27
24,46
24,48
24,50
25,39
25,40
26,41
27,28
27,36
27,44
27,46
28,35
28,36
29,48
29,50
29,57
30,48
31,38
31,41
32,34
32,49
32,69
33,37
33,75
34,49
34,69
35,36
35,56
35,60
36,44
36,60
37,41
37,53
37,69
37,75
38,41
38,47
39,40
39,54
39,75
40,42
40,54
40,55
40,56
40,130
41,47
41,49
41,61
41,69
41,73
42,54
42,130
43,44
43,45
43,46
43,68
44,46
44,52
44,60
44,68
45,46
45,62
45,68
46,50
46,62
47,61
48,50
48,57
48,65
48,72
49,69
50,57
50,62
51,130
52,60
52,68
53,67
53,69
53,75
53,91
54,58
54,75
54,130
55,56
55,130
56,60
56,130
57,62
57,65
58,130
59,62
59,65
60,68
60,130
61,73
61,79
62,65
62,68
63,77
63,89
64,130
65,68
65,72
66,69
66,76
67,69
67,91
68,71
68,114
68,130
69,73
69,76
69,91
69,95
70,130
71,72
71,106
71,114
72,77
72,106
73,76
73,79
73,82
73,90
73,102
74,78
74,91
75,78
75,91
75,130
76,90
76,93
76,94
76,95
77,86
77,89
77,106
78,91
78,130
79,82
80,130
81,106
82,102
82,107
82,113
83,90
83,93
84,110
84,130
85,86
85,106
86,89
86,96
86,100
86,106
87,89
87,100
88,91
88,95
88,104
88,117
89,92
89,100
89,109
90,93
90,102
90,108
90,115
91,95
91,97
91,104
91,130
92,101
92,109
93,94
93,108
93,122
94,95
94,122
95,117
95,124
96,99
96,100
96,106
96,135
97,104
97,105
97,127
97,130
98,106
98,111
98,112
98,114
99,106
99,135
100,109
100,135
101,109
101,119
102,107
102,115
102,121
103,106
103,111
104,117
104,126
104,127
105,127
105,130
106,111
106,114
106,135
107,113
107,120
107,121
108,115
108,122
109,119
109,135
109,136
109,137
109,138
110,129
110,130
111,112
111,116
111,132
111,135
112,114
112,132
113,120
114,130
114,132
115,121
115,122
116,132
116,133
116,135
117,124
117,125
117,126
118,130
119,138
120,121
121,122
122,123
122,124
123,124
124,125
125,126
126,127
127,128
127,130
128,130
129,130
130,131
130,132
131,132
132,133
133,134
134,135
135,136
136,137
137,138
