Node,GrainSize,phi1,Phi,phi2,x,y
1,7,3.09417,0.29541,2.60215,-0.00946200305031838,73.3507291000647
2,9,4.02204,0.69938,2.95876,0.0381915171617232,110.231603068843
3,8,0.90797,0.79089,5.38702,0.773138319839167,0.366714806359259
4,12,2.50698,0.92708,4.20355,0.357315547065996,139.84890191873
5,75,0.19824,0.58911,0.1543,0.618111642696966,38.490964867863
6,46,1.90379727828494,0.237799560314195,4.35323284745533,0.572947631032791,116.712610240949
7,78,5.95478,0.602930000000001,0.724589999999999,1.02402281144696,124.951071369712
8,138,2.48441,0.322900000000001,3.29645,1.0866820707145,27.0827642587112
9,51,2.71883,0.626000000000001,3.98244,2.80942154324112,126.951539940454
10,42,0.73896,0.60957,5.53292,1.80661937186243,57.3557050838572
11,50,4.37462,0.69675,2.44849,4.82725460337732,2.89596789972213
12,296,4.34531,0.900369999999999,2.41319,2.57819988704436,72.9251944425802
13,143,5.92512,0.835459999999998,0.469280000000003,2.50584748973332,110.899551766615
14,484,1.10699,0.218869999999997,4.67678,2.32504488001552,90.8614753069652
15,212,4.37759,0.689960000000001,2.43954,5.00504682623421,24.6805760503917
16,184,3.88909,0.375510000000002,2.12601,4.63331670416443,119.756776383036
17,5,0.9081,0.78539,5.38931,9.86725624644938,10.3072534538195
18,5,0.21089,0.60287,0.14046,10.2135775949863,9.60374144383467
19,154,0.916050000000001,0.782240000000003,5.38101,4.3625294918962,17.3708397190401
20,105,0.46506,0.869589999999998,5.60882,9.47581024850636,119.865109586499
21,7,1.89692,0.31577,4.73049,11.6742222484118,148.714461268932
22,328,5.52356,0.761010000000002,0.826379999999996,8.60445016712511,92.9105064242605
23,342,1.01596,0.471859999999995,4.93491,6.03166885433784,108.698849601728
24,450,5.95223,0.605769999999991,0.729530000000004,8.79831992799382,129.252772998308
25,198,4.95866,0.713780000000003,1.49355,12.7504041574258,83.7731672646968
26,70,4.35918,0.694469999999999,2.46528,14.0906490306018,13.4688528776867
27,124,3.8893,0.378929999999999,2.1274,13.5812843300688,120.312919212425
28,278,5.92664,0.837,0.470630000000001,11.618970493835,110.236194908095
29,110,5.72215,0.181760000000001,6.09728,12.7640459860349,137.683036740722
30,28,5.69752,0.18155,6.11925,13.6388638067087,145.223324099742
31,54,0.21888,0.601250000000001,0.12992,14.26199242162,0.288293518586043
32,26,5.4615,0.64296,0.876910000000001,18.0847197354982,27.9656839851126
33,498,5.78843999999999,0.308279999999999,1.22205,7.70961232642012,41.833824827614
34,40,0.518769999999999,0.77077,5.14681,18.9077897360702,30.3289988527806
35,329,1.01699,0.470960000000001,4.9332,14.429199559322,107.798032436285
36,37,3.53807,0.30093,2.15338,19.0407337731574,120.008536865055
37,636,2.81629000000001,0.543170000000002,3.53582999999999,11.5734634534271,35.1664179377357
38,13,1.74181,0.66015,4.46276,21.3575176259547,0.186405635486211
39,2472,3.08871999999999,0.296390000000022,2.60895999999999,12.188020532573,68.6881312258384
40,489,3.85195,0.483320000000001,2.22814999999999,18.5993497460196,94.2944327260032
41,1562,2.48914999999997,0.324879999999997,3.29312000000002,12.0461073420002,9.6358112071431
42,52,2.31202,0.73644,4.51042,24.4987486980432,94.6072827659468
43,10,0.94847,0.8525,5.06715,25.5647584973219,124.030294115125
44,145,5.95108,0.6029,0.730119999999998,22.2988094465891,121.792900943068
45,6,1.24522,0.5359,5.17726,26.6652758158903,124.568043187805
46,280,1.87874,0.641250000000004,3.79282,20.2024175638397,126.844609758227
47,88,4.24617,0.674230000000001,1.72446,25.7048565580018,2.82367481853244
48,1487,3.65722999999999,0.743380000000018,2.45593,10.1794047401155,145.071702304035
49,253,4.77714,0.556319999999995,1.84657,21.5092025413124,26.6744980336551
50,284,0.502670000000003,0.747849999999996,5.84331,20.2383514690142,132.440485515258
51,5,4.9727,0.7151,1.48236,28.3000097279668,99.1595900624039
52,6,3.52101,0.71012,3.47066,27.8963422900088,120.675930830925
53,194,0.24617,0.31478,0.1854,23.9386944499643,40.2096557476185
54,378,4.96102,0.713610000000003,1.48961,22.7407135337904,73.4637381439779
55,249,2.80288999999999,0.0121599999999999,4.23291,23.0123011260907,102.806554510941
56,427,5.92439,0.833910000000007,0.469940000000002,21.0995547322742,108.119285494662
57,491,3.8903,0.962619999999993,2.41728,24.4625627043613,139.46089887889
58,101,6.12088,0.547159999999999,0.50789,29.5511869551085,83.5662393818841
59,30,3.88989,0.95585,2.41921,32.4121848581457,134.423201018693
60,361,2.08304,0.477690000000003,4.46344,27.6550199012872,113.895307964484
61,364,2.53985,0.45707,4.19291,30.797594763806,5.43857843467834
62,169,3.7188,0.550530000000001,2.58083,30.5968402599042,127.865337212647
63,49,3.88821,0.96163,2.41613,33.786248529191,150.608385774886
64,39,4.97707,0.70511,1.47394,34.6774598779015,62.8944040854067
65,331,2.80959,0.320959999999997,3.99733,30.6674105770338,139.798500058855
66,254,5.00893,0.596620000000001,1.52335,33.4762056264844,27.4422867300575
67,46,0.97366,0.6639,5.34484,33.9802476302521,41.4576461535384
68,456,5.88204,0.642809999999998,6.00831,33.586844664663,119.688843213897
69,1347,2.95785424813202,0.479710929182305,2.85161050634701,25.8594238399724,30.6186195977431
70,41,4.97163,0.71664,1.47965,40.000133956843,68.5881097157527
71,217,3.52317,0.708760000000003,3.46463,38.7384062907792,121.812699994424
72,412,3.89123,0.960819999999997,2.41642,34.234859817041,141.35635901308
73,430,1.99743999999999,0.487579999999994,4.79611,33.2763794613865,14.3924399847377
74,60,3.5849,0.62308,3.33715,40.7541865748775,51.3041666463384
75,830,6.13328,0.543209999999996,0.497850000000001,20.2884341342342,49.3190339353401
76,432,0.49954422773055,0.742299599853534,5.16512119565436,32.5351604561138,20.5346323271403
77,279,2.81513,0.320490000000001,3.99022,37.4138568787363,142.572574388162
78,45,0.74857,0.6197,5.52644,40.9783542854234,53.6578138567336
79,391,2.47102,0.482260000000001,4.44714999999999,39.0679783443222,5.37033434372493
80,47,4.9686,0.72263,1.47895,43.7564858750342,73.3431736325544
81,23,3.51352,0.71127,3.47072,45.2884415813521,118.746107748899
82,133,3.80364,0.853239999999997,2.68178,44.099760261659,6.99556016391034
83,5,1.57032,0.44082,5.23431,45.160110196762,20.7461422666425
84,72,4.9787,0.725990000000001,1.46585,49.9864406636191,74.2400414849459
85,94,3.53121,0.70118,3.4558,50.3821428515632,127.005107304877
86,663,3.89124,0.961989999999999,2.41596,43.977385440186,141.595898408904
87,56,3.8893,0.96111,2.41969,51.5818406567314,145.375654127392
88,102,4.53248,0.656690000000001,1.26831,51.3731795809285,45.2685474837164
89,188,6.16104,0.217260000000001,0.50051,44.7350079227667,152.599502632195
90,209,5.5987,0.640719999999996,0.469760000000001,49.0493473785276,19.1179432629514
91,821,1.82431,0.48495000000001,4.29683,40.9010920911635,47.3822873006589
92,12,4.17187,0.73367,1.76952,55.0001995911412,152.942634689808
93,193,4.34049,0.812940000000002,2.5286,48.206217589158,23.7110270259752
94,94,1.59898,0.44414,5.19244,48.1427837555263,25.9759270712962
95,922,4.33064,0.822650000000007,2.54658,46.4706245193663,33.5599623086788
96,34,5.5687,0.53656,0.6271,54.5223390582203,134.099479020824
97,63,4.97637,0.71152,1.47113,55.7735468308575,59.0761626007409
98,28,0.72109,0.59455,5.76792,55.3791046722357,116.791897328603
99,39,2.79356,0.32224,4.01454,55.6791642314518,132.706433229152
100,436,2.80643,0.323879999999997,3.99946,51.3120638255088,142.580155013386
101,13,5.71419,0.2445,0.66306,56.6060992218814,152.798910471334
102,291,4.08229,0.653940000000003,2.69107,49.8753761140074,13.9598795508382
103,48,3.37502,0.24421,3.11642,56.2385512022629,125.190393888943
104,252,6.13525,0.544580000000001,0.495949999999997,54.9680228894944,50.7672027335898
105,66,4.34873,0.899980000000001,2.40812,57.8068452431646,64.1720904577616
106,932,5.88322,0.646600000000011,6.00922,48.4087640967187,123.356020933199
107,434,5.58842999999999,0.632450000000004,0.474300000000005,52.3848374690579,7.39912057861038
108,137,6.00423,0.713210000000001,6.23361,56.0389214153136,21.2385452367906
109,208,3.89081,0.962110000000001,2.41843,56.4685746634295,144.979931356016
110,515,2.2689,1.01969,3.95612,55.8859102384131,82.6070419332927
111,166,0.901090000000002,0.922890000000002,5.87797,59.253217348829,123.158255102397
112,170,4.28304,0.67586,2.11117,58.0320832803806,113.033225868756
113,218,4.0869,0.647749999999998,2.68515,53.8569212132817,1.40357055780254
114,577,0.741520000000004,0.613490000000005,5.53001,48.7741811195403,110.386592665901
115,96,1.45598,0.376390000000001,5.27411,58.7773623922742,17.1174100496236
116,90,5.9857,0.542699999999999,5.90744,62.1952951565445,124.065986847208
117,277,6.22687,0.701960000000004,0.680400000000001,59.3393800863684,43.6283915507261
118,56,0.7695,0.600169999999999,5.51086,57.611249569213,100.932726657415
